participant_id,task_id,trial_id,prompt_type,prompt
user01,task1,0,phrase,My preferred treat is chocolate.
user01,task1,1,random,Rcgvifjs
user01,task1,2,phrase,You will loose your voice.
user01,task1,3,phrase,The laser printer is jammed.
user01,task1,4,phrase,The first time he tried to swim
user01,task1,5,random,Fusflw..
user01,task1,6,phrase,Stiff penalty for staying out late
user01,task1,7,phrase,I do not care if you do that.
user01,task1,8,phrase,I like to play tennis.
user01,task1,9,random,Ncozpkys
user01,task1,10,phrase,My favourite sport is racketball.
user01,task1,11,random,Gfsj.ekg
user01,task1,12,phrase,Get your priorities in order
user01,task1,13,phrase,Would you like to come to my house
user01,task1,14,random,Xlnezniu
user01,task1,15,random,L.jupcjb
user01,task1,16,random,Q zlkpnx
user01,task1,17,phrase,An occasional taste of chocolate
user01,task1,18,phrase,Presidents drive expensive cars.
user01,task1,19,phrase,Earth quakes are predictable.
user01,task1,20,phrase,The kids are very excited.
user01,task1,21,phrase,Win first prize in the contest
user01,task1,22,phrase,This is a non profit organization.
user01,task1,23,random,Tvpcpaoe
user01,task1,24,random,Uctmlfex
user01,task1,25,phrase,I can still feel your presence.
user01,task1,26,phrase,Soon we will return from the city.
user01,task1,27,phrase,A tumor is OK provided it is benign.
user01,task1,28,random,Smvdsjvy
user01,task1,29,phrase,Longer than a football field
user01,task2,0,random,Vsj.ul.w
user01,task2,1,phrase,Not quite so smart as you think
user01,task2,2,phrase,Her majesty visited our country.
user01,task2,3,phrase,Dashing through the snow
user01,task2,4,phrase,Please provide your date of birth.
user01,task2,5,random,Qdz xoyr
user01,task2,6,random,Teawfpxu
user01,task2,7,phrase,The back yard of our house
user01,task2,8,random,Syotklib
user01,task2,9,phrase,Fish are jumping.
user01,task2,10,random,Blgs pcu
user01,task2,11,phrase,We must redouble our efforts.
user01,task2,12,phrase,We run the risk of failure.
user01,task2,13,random,Mzdtgdkk
user01,task2,14,phrase,All together in one big pile
user01,task2,15,random,Yl.bgwxz
user01,task2,16,phrase,One hour is allotted for questions.
user01,task2,17,phrase,I took the rover from the shop.
user01,task2,18,phrase,Learn to walk before you run
user01,task2,19,random,Yobsggqb
user01,task2,20,phrase,Historic meeting without a result
user01,task2,21,phrase,Where can my little dog be
user01,task2,22,phrase,Companies announce a merger.
user01,task2,23,random,Obbacq m
user01,task2,24,phrase,Head shoulders knees and toes
user01,task2,25,phrase,Just like it says on the can.
user01,task2,26,phrase,Gun powder must be handled with care.
user01,task2,27,random,Awrhoxow
user01,task2,28,phrase,The fire blazed all weekend.
user01,task2,29,phrase,Good at addition and subtraction
user01,task3,0,phrase,The imagination of the nation
user01,task3,1,phrase,Shall we play a round of cards
user01,task3,2,phrase,The cream rises to the top.
user01,task3,3,random,Cj.dkbmy
user01,task3,4,phrase,Exercise is good for the mind.
user01,task3,5,phrase,Hair gel is very greasy.
user01,task3,6,random,Etscledz
user01,task3,7,phrase,The daring young man
user01,task3,8,phrase,Canada has ten provinces.
user01,task3,9,phrase,Questioning the wisdom of the courts
user01,task3,10,phrase,Never too rich and never too thin
user01,task3,11,phrase,The world is a stage.
user01,task3,12,phrase,Are you talking to me
user01,task3,13,phrase,Please take a bath this month.
user01,task3,14,random,Nozqnegt
user01,task3,15,random,Hzqxjeay
user01,task3,16,phrase,I hate baking pies.
user01,task3,17,random,Foweviiq
user01,task3,18,phrase,Be home before midnight
user01,task3,19,phrase,Elections bring out the best.
user01,task3,20,phrase,The dog buried the bone.
user01,task3,21,phrase,Motivational seminars make me sick.
user01,task3,22,random,Sqwzdylx
user01,task3,23,random,Zdtsnits
user01,task3,24,phrase,We park in driveways.
user01,task3,25,random,Vqroszfy
user01,task3,26,random,Ai fgusg
user01,task3,27,phrase,I spilled coffee on the carpet.
user01,task3,28,phrase,Peek out the window
user01,task3,29,random,Nnljbu m
user01,task4,0,phrase,Correct your diction immediately
user01,task4,1,phrase,Machinery is too complicated.
user01,task4,2,phrase,Did you see that spectacular explosion
user01,task4,3,phrase,Saving that child was an heroic effort.
user01,task4,4,random,U.qakvav
user01,task4,5,phrase,The generation gap gets wider.
user01,task4,6,phrase,The most beautiful sunset
user01,task4,7,phrase,Sign the withdrawal slip
user01,task4,8,phrase,Quit while you are ahead
